record_id,snapshot_date,segment,source_id,list_position,irc_status_prefixes,display_nickname,raw_line,privacy_classification,civil_identity_linked,sensitive_data_included,normalized_duplicate_count
cb_20021128_0990,2002-11-28,female,canalbarra_cadastros_20021128_female,40,,`kathryn-copa`,`kathryn-copa`,historical_public_nickname,false,false,1
cb_20021128_0991,2002-11-28,female,canalbarra_cadastros_20021128_female,41,,{{carlinha}},{{carlinha}},historical_public_nickname,false,false,1
cb_20021128_0992,2002-11-28,female,canalbarra_cadastros_20021128_female,42,,{BIANE},{BIANE},historical_public_nickname,false,false,1
cb_20021128_0993,2002-11-28,female,canalbarra_cadastros_20021128_female,43,,{Giselinha-Barra},{Giselinha-Barra},historical_public_nickname,false,false,1
cb_20021128_0994,2002-11-28,female,canalbarra_cadastros_20021128_female,44,,{Hanna},{Hanna},historical_public_nickname,false,false,1
cb_20021128_0995,2002-11-28,female,canalbarra_cadastros_20021128_female,45,,|||Bruna|||,|||Bruna|||,historical_public_nickname,false,false,1
cb_20021128_0996,2002-11-28,female,canalbarra_cadastros_20021128_female,46,,||MaLaNdRiNhA||,||MaLaNdRiNhA||,historical_public_nickname,false,false,1
cb_20021128_0997,2002-11-28,female,canalbarra_cadastros_20021128_female,47,,|GarotaCarioca|,|GarotaCarioca|,historical_public_nickname,false,false,1
cb_20021128_0998,2002-11-28,female,canalbarra_cadastros_20021128_female,48,,|HeLeNa|,|HeLeNa|,historical_public_nickname,false,false,1
cb_20021128_0999,2002-11-28,female,canalbarra_cadastros_20021128_female,49,,|July_Recreio|,|July_Recreio|,historical_public_nickname,false,false,1
cb_20021128_1000,2002-11-28,female,canalbarra_cadastros_20021128_female,50,,|TeKa|,|TeKa|,historical_public_nickname,false,false,1
cb_20021128_1001,2002-11-28,female,canalbarra_cadastros_20021128_female,51,,A_CARIOCA_21,A_CARIOCA_21,historical_public_nickname,false,false,1
